source_row,slice,region_id,class,cnn2,cnn3,dense_fc,random_forest,mean_confidence,min_confidence,model_disagreement,n_correct,n_models,hardness_rank_key
17927,recon_00100.tiff,111593,1,0.6013110876083374,0.9565916061401368,0.9999715089797974,0.992,0.8874685506820679,0.6013110876083374,0.39866042137145996,0,4,40.79734933376312
19777,recon_00100.tiff,166443,1,0.6140069961547852,0.9715936183929444,0.7690612077713013,0.8259000000000003,0.7951404555797578,0.6140069961547852,0.3575866222381593,0,4,40.743579626083374
4395,recon_00026.tiff,62926,2,0.3257917463779449,0.3328258097171783,0.2388461977243423,0.3762666666666667,0.6815674135049183,0.6237333333333333,0.1374204689423244,0,4,40.51368713560899
29583,recon_00086.tiff,127775,2,0.2507696151733398,0.0934825614094734,0.8455919623374939,0.4446396103896103,0.7641750457039127,0.5553603896103896,0.7521094009280205,1,4,31.196749011317632
4256,recon_00026.tiff,59557,2,0.1260971873998642,0.1097228452563285,0.8082755208015442,0.4858571428571426,0.7716495807341167,0.5141428571428573,0.6985526755452157,1,4,31.184409818402358
4468,recon_00026.tiff,64640,2,0.1764311790466308,0.1981373131275177,0.8100072145462036,0.4953809523809523,0.7350144499483563,0.5046190476190476,0.6335760354995728,1,4,31.128956987880525
4236,recon_00026.tiff,59181,2,0.1320960074663162,0.0991099029779434,0.86488938331604,0.2312047619047619,0.8506196851923352,0.7687952380952381,0.7657794803380966,1,4,30.99698424224286
4603,recon_00026.tiff,68487,2,0.2782790660858154,0.1643554866313934,0.8195636868476868,0.2246666666666666,0.7880656094153722,0.7217209339141846,0.6552082002162933,1,4,30.93348726630211
4195,recon_00026.tiff,58402,2,0.1664786338806152,0.1033791005611419,0.823903501033783,0.1514619047619047,0.8506459580069496,0.823903501033783,0.7205244004726411,1,4,30.896620899438858
4400,recon_00026.tiff,63023,2,0.2049676924943924,0.107323557138443,0.5923856496810913,0.1670396825396825,0.7782636905530143,0.5923856496810913,0.4850620925426483,1,4,30.892676442861557
25266,recon_00086.tiff,40828,1,0.5300335884094238,0.4141987860202789,0.5209713578224182,0.5813126984126984,0.554529722106646,0.5209713578224182,0.16711391239241952,1,4,30.64614255457
20082,recon_00100.tiff,174557,2,0.386426031589508,0.5274995565414429,0.4133152067661285,0.4988666666666665,0.5572229203303656,0.5011333333333334,0.14107352495193487,1,4,30.639940191618603
5974,recon_00026.tiff,95986,2,0.0583342351019382,0.0857369899749755,0.950349509716034,0.5565349206349206,0.8407033022498328,0.5565349206349206,0.8920152746140958,2,4,21.335480353979175
8753,recon_00026.tiff,181905,2,0.4425146281719208,0.1137275844812393,0.9973478317260742,0.9958333333333332,0.8592347343762715,0.5574853420257568,0.8836202472448349,2,4,21.326134905219078
12704,recon_00100.tiff,17988,1,0.8326087594032288,0.1964800506830215,0.0018294662004336,0.510770634920635,0.7862674782949781,0.510770634920635,0.8307792932027952,2,4,21.32000865828216
4462,recon_00026.tiff,64458,2,0.4066170454025268,0.1286962032318115,0.9732518792152404,0.7223317460317461,0.7900675941531621,0.5933829545974731,0.8445556759834288,2,4,21.251172721385956
4363,recon_00026.tiff,62289,2,0.134853109717369,0.0652209520339965,0.946922779083252,0.6446380952380952,0.8478716994172051,0.6446380952380952,0.8817018270492555,2,4,21.237063731811162
16788,recon_00100.tiff,81460,2,0.6472733020782471,0.0252955425530672,0.7279558777809143,0.4543119047619047,0.7239054298764184,0.5456880952380952,0.7026603352278471,2,4,21.156972239989752
18354,recon_00100.tiff,121321,1,0.2199461013078689,0.2970326244831085,0.9803689122200012,0.7424357142857144,0.8014564863545555,0.7029674053192139,0.7604228109121323,2,4,21.05745540559292
5758,recon_00026.tiff,92256,2,0.1916165351867675,0.0846462175250053,0.948864758014679,0.8362095238095238,0.8772028804154623,0.8083834648132324,0.8642185404896736,2,4,21.05583507567644
12470,recon_00100.tiff,15644,2,0.3928552269935608,0.3602894842624664,0.9138477444648744,0.522395238095238,0.6707745752766019,0.522395238095238,0.5535582602024081,2,4,21.03116302210717
8759,recon_00026.tiff,182088,1,0.5751919746398926,0.5962895154953003,0.0012544499477371,0.0276666666666666,0.7856400960286458,0.5751919746398926,0.5950350655475632,2,4,21.01984309090767
0,recon_00026.tiff,0,1,0.7646684050559998,0.8674115538597107,0.0861251726746559,0.1366523809523809,0.8523255957342329,0.7646684050559998,0.7812863811850548,2,4,21.016617976129055
18201,recon_00100.tiff,116920,2,0.4391236901283264,0.203927993774414,0.7761441469192505,0.6910506493506493,0.7060357780917899,0.5608763098716736,0.5722161531448364,2,4,21.011339843273163
29723,recon_00086.tiff,131969,2,0.5235455632209778,0.5251427888870239,0.0006010941579006,0.3439809523809524,0.6760265717211223,0.5235455632209778,0.5245416947291234,2,4,21.000996131508145
5898,recon_00026.tiff,94288,1,0.5654280781745911,0.5298759937286377,0.0519188828766346,0.09,0.7383463019132614,0.5298759937286377,0.5135091952979565,2,4,20.98363320156932
8579,recon_00026.tiff,176809,1,0.3518666326999664,0.8113040328025818,0.7441034913063049,0.226902380952381,0.7441596350647154,0.648133397102356,0.5844016518502008,2,4,20.936268254747844
19788,recon_00100.tiff,166672,1,0.3610482811927795,0.6025570631027222,0.728186309337616,0.2152166666666667,0.688619606145223,0.6025570631027222,0.5129696426709492,2,4,20.910412579568227
11459,recon_00100.tiff,0,1,0.674745500087738,0.6990569829940796,0.3043866455554962,0.2009095238095238,0.71712658587978,0.674745500087738,0.49814745918455583,2,4,20.823401959096817
25232,recon_00086.tiff,40567,1,0.5755553245544434,0.3429999053478241,0.6671680212020874,0.4845285714285713,0.6037987097944533,0.5154714285714286,0.3241681158542633,2,4,20.808696687282836
25295,recon_00086.tiff,40998,1,0.500415563583374,0.3880967795848846,0.4023685455322265,0.5933460317460318,0.5758240601024931,0.500415563583374,0.20524925216114726,2,4,20.70483368857777
5094,recon_00026.tiff,77767,2,0.5992626547813416,0.9478740096092224,0.038624458014965,0.6679848484848485,0.7941242618524667,0.5992626547813416,0.9092495515942574,3,4,11.309986896812916
25294,recon_00086.tiff,40997,1,0.4506740868091583,0.8424543738365173,0.0055494913831353,0.0678666666666666,0.8295910399278005,0.5493259429931641,0.836904882453382,3,4,11.287578939460218
9440,recon_00026.tiff,195560,1,0.4683331251144409,0.6209539771080017,3.1401227715832647e-06,0.0665,0.7715294232368469,0.5316668748855591,0.6209508369852301,3,4,11.089283962099671
20343,recon_00100.tiff,180187,1,0.6266922354698181,0.4233192801475525,0.0014929097378626,0.2204785714285714,0.7453503665890012,0.5766807198524475,0.6251993257319555,3,4,11.048518605879508
19806,recon_00100.tiff,167061,1,0.2812899053096771,0.4428766667842865,0.8491573333740234,0.289902380952381,0.7087720801807584,0.5571233034133911,0.5678674280643463,3,4,11.010744124650955
8015,recon_00026.tiff,159417,2,0.4812211692333221,0.9910833835601808,0.955247700214386,1.0,0.8662774711847305,0.5187788009643555,0.5187788307666779,3,4,11.000000029802322
5741,recon_00026.tiff,91691,1,0.5787731409072876,0.1134019196033477,1.75647636626447e-13,0.0375952380952381,0.856944003252756,0.5787731409072876,0.578773140907112,3,4,10.999999999999824
9691,recon_00026.tiff,199563,1,0.6760241985321045,0.0149175012484192,5.769396071997335e-11,0.074715873015873,0.8965977081624289,0.6760241985321045,0.6760241984744105,3,4,10.999999999942306
8621,recon_00026.tiff,178437,1,0.7190592288970947,0.0093885045498609,2.1389266746663083e-10,0.1060396825396825,0.9009077599862265,0.7190592288970947,0.719059228683202,3,4,10.999999999786107
9341,recon_00026.tiff,194073,1,0.6488127708435059,0.0494594797492027,1.8303421001064635e-09,0.0350238095238095,0.8910823759805588,0.6488127708435059,0.6488127690131638,3,4,10.999999998169658
14901,recon_00100.tiff,44393,1,0.6026883721351624,0.3600363731384277,2.2414401446013703e-09,0.0194999999999999,0.8057879997491837,0.6026883721351624,0.6026883698937222,3,4,10.99999999775856
8797,recon_00026.tiff,182847,1,0.6654636859893799,0.0626844316720962,4.485859239622414e-09,0.0774968253968253,0.8813206109554049,0.6654636859893799,0.6654636815035206,3,4,10.999999995514141
25293,recon_00086.tiff,40996,1,0.567371129989624,0.3310018479824066,7.743333085841186e-09,0.099695238095238,0.7841685035274142,0.567371129989624,0.5673711222462909,3,4,10.999999992256667
8897,recon_00026.tiff,185634,1,0.7772586941719055,0.0047024278901517,8.877606205714983e-09,0.096247619047619,0.9190771565698442,0.7772586941719055,0.7772586852942993,3,4,10.999999991122394
25321,recon_00086.tiff,41254,1,0.704409122467041,0.1930315941572189,2.9388376177053036e-08,0.1896452380952381,0.8304330688283557,0.704409122467041,0.7044090930786648,3,4,10.999999970611624
8770,recon_00026.tiff,182245,1,0.519033670425415,0.2687029838562011,1.6776679956365117e-07,0.0563809523809523,0.7984873888435817,0.519033670425415,0.5190335026586155,3,4,10.9999998322332
9402,recon_00026.tiff,195113,1,0.5575828552246094,0.1330548971891403,5.262510285319877e-07,0.2194071428571428,0.8012800659588405,0.5575828552246094,0.5575823289735808,3,4,10.999999473748971
